"","date_dt","total_cases","new_case","total_deaths","new_deaths","total_persons_tested","new_persons_tested"
"1",2020-06-26,90490,87,3071,1,1037307,277
"2",2020-06-25,90403,276,3070,12,1037030,2844
"3",2020-06-24,90127,1018,3058,21,1034186,9020
"4",2020-06-23,89109,1398,3037,12,1025166,12581
"5",2020-06-22,87711,1578,3025,19,1012585,14461
"6",2020-06-21,86133,722,3006,21,998124,5286
"7",2020-06-20,85411,1380,2985,23,992838,10705
"8",2020-06-19,84031,1795,2962,26,982133,16361
"9",2020-06-18,82236,1987,2936,17,965772,16227
"10",2020-06-17,80249,2040,2919,34,949545,16910
"11",2020-06-16,78209,1755,2885,20,932635,16620
"12",2020-06-15,76454,1899,2865,27,916015,16137
"13",2020-06-14,74555,549,2838,21,899878,4964
"14",2020-06-13,74006,1113,2817,21,894914,11339
"15",2020-06-12,72893,1399,2796,32,883575,17443
"16",2020-06-11,71494,1441,2764,23,866132,16812
"17",2020-06-10,70053,1556,2741,27,849320,17996
"18",2020-06-09,68497,1502,2714,33,831324,20178
"19",2020-06-08,66995,1754,2681,34,811146,19004
"20",2020-06-07,65241,538,2647,32,792142,4809
"21",2020-06-06,64703,1107,2615,33,787333,15158
"22",2020-06-05,63596,1454,2582,33,772175,19047
"23",2020-06-04,62142,1707,2549,44,753128,15916
"24",2020-06-03,60435,1407,2505,44,737212,15572
"25",2020-06-02,59028,1439,2461,27,721640,13841
"26",2020-06-01,57589,1057,2434,33,707799,12224
"27",2020-05-31,56532,392,2401,30,695575,4023
"28",2020-05-30,56140,890,2371,35,691552,11602
"29",2020-05-29,55250,1463,2336,33,679950,17783
"30",2020-05-28,53787,1545,2303,30,662167,17581
"31",2020-05-27,52242,1422,2273,44,644586,19205
"32",2020-05-26,50820,1759,2229,40,625381,20768
"33",2020-05-25,49061,503,2189,28,604613,4106
"34",2020-05-24,48558,392,2161,36,600507,4215
"35",2020-05-23,48166,737,2125,36,596292,12881
"36",2020-05-22,47429,970,2089,43,583411,18767
"37",2020-05-21,46459,951,2046,26,564644,17230
"38",2020-05-20,45508,1110,2020,26,547414,18938
"39",2020-05-19,44398,942,1994,45,528476,18564
"40",2020-05-18,43456,946,1949,43,509912,18953
"41",2020-05-17,42510,346,1906,34,490959,4770
"42",2020-05-16,42164,681,1872,53,486189,13975
"43",2020-05-15,41483,1124,1819,42,472214,21945
"44",2020-05-14,40359,1198,1777,31,450269,19949
"45",2020-05-13,39161,802,1746,38,430320,20434
"46",2020-05-12,38359,935,1708,47,409886,19855
"47",2020-05-11,37424,1034,1661,28,390031,17531
"48",2020-05-10,36390,469,1633,31,372500,4650
"49",2020-05-09,35921,646,1602,47,367850,13181
"50",2020-05-08,35275,947,1555,48,354669,17788
"51",2020-05-07,34328,912,1507,50,336881,19558
"52",2020-05-06,33416,969,1457,53,317323,21020
"53",2020-05-05,32447,1230,1404,35,296303,18135
"54",2020-05-04,31217,875,1369,42,278168,17436
"55",2020-05-03,30342,456,1327,44,260732,5894
"56",2020-05-02,29886,702,1283,49,254838,14202
"57",2020-05-01,29184,885,1234,36,240636,18310
"58",2020-04-30,28299,894,1198,44,222326,17742
"59",2020-04-29,27405,975,1154,42,204584,11878
"60",2020-04-28,26430,954,1112,53,192706,11495
"61",2020-04-27,25476,1059,1059,37,181211,11145
"62",2020-04-26,24417,591,1022,41,170066,3870
"63",2020-04-25,23826,889,981,38,166196,9223
"64",2020-04-24,22937,1005,943,44,156973,9088
"65",2020-04-23,21932,982,899,50,147885,6495
"66",2020-04-22,20950,784,849,46,141390,6956
"67",2020-04-21,20166,888,803,40,134434,8492
"68",2020-04-20,19278,941,763,48,125942,6323
"69",2020-04-19,18337,476,715,36,119619,2981
"70",2020-04-18,17861,604,679,38,116638,5467
"71",2020-04-17,17257,815,641,39,111171,7063
"72",2020-04-16,16442,762,602,58,104108,6917
"73",2020-04-15,15680,843,544,35,97191,7362
"74",2020-04-14,14837,653,509,47,89829,4878
