"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"1","City of Agoura Hills",51,244,230,1,5,5,1624,7777,7196,20883
"2","City of Alhambra",405,467,450,10,12,7,7920,9132,8705,86724
"3","City of Arcadia",154,267,249,8,14,9,3310,5731,5634,57754
"4","City of Artesia",95,566,527,2,12,7,1502,8943,8023,16795
"5","City of Avalon",1,26,27,0,0,0,71,1835,1820,3869
"6","City of Azusa",392,783,792,8,16,20,3253,6501,6620,50040
"7","City of Baldwin Park",785,1023,1009,14,18,19,5888,7670,7570,76769
"8","City of Bell",618,1701,1761,22,61,86,3491,9609,9704,36332
"9","City of Bell Gardens",636,1477,1557,11,26,44,3526,8186,8579,43071
"10","City of Bellflower",789,1015,1015,28,36,41,7086,9116,8998,77735
"11","City of Beverly Hills",218,632,602,6,17,9,4715,13659,12925,34520
"12","City of Bradbury",6,561,648,0,0,0,19,1777,1581,1069
"13","City of Burbank",542,506,448,47,44,34,9653,9006,8409,107180
"14","City of Calabasas",117,481,434,10,41,34,2017,8293,7959,24323
"15","City of Carson",633,675,649,28,30,23,6939,7394,7094,93846
"16","City of Cerritos",207,413,433,5,10,6,3392,6775,6660,50067
"17","City of Claremont",96,263,264,2,5,3,2291,6279,6381,36484
"18","City of Commerce",183,1400,1409,1,8,7,1290,9871,9863,13069
"19","City of Compton",1316,1317,1327,24,24,32,9123,9132,9337,99904
"20","City of Covina",365,744,747,8,16,15,4139,8441,8206,49032
"21","City of Cudahy",427,1754,1810,10,41,66,2258,9274,9411,24347
"22","City of Culver City",197,494,432,26,65,44,4841,12143,11694,39865
"23","City of Diamond Bar",132,230,220,3,5,4,3116,5418,5050,57515
"24","City of Downey",1421,1244,1213,45,39,38,10349,9057,8828,114263
"25","City of Duarte",179,813,704,18,82,50,1982,9003,8455,22016
"26","City of El Monte",1386,1182,1174,44,38,39,9697,8269,8147,117269
"27","City of El Segundo",49,292,281,0,0,0,1473,8775,8641,16786
"28","City of Gardena",480,783,754,30,49,33,5200,8481,8197,61310
"29","City of Glendale",1353,655,552,106,51,35,15824,7663,7051,206493
"30","City of Glendora",283,536,510,10,19,16,3397,6438,6268,52764
"31","City of Hawaiian Gardens",166,1131,1118,1,7,8,991,6753,6707,14676
"32","City of Hawthorne",681,767,763,22,25,30,7608,8569,8461,88787
"33","City of Hermosa Beach",69,351,325,2,10,13,1763,8963,8571,19670
"34","City of Hidden Hills",4,212,107,0,0,0,208,11005,11117,1890
"35","City of Huntington Park",1073,1804,1808,17,29,37,5317,8939,8955,59484
"36","City of Industry",14,3204,3159,2,458,556,231,52860,48810,437
"37","City of Inglewood",961,846,838,61,54,58,10006,8809,8612,113582
"38","City of Irwindale",11,754,742,0,0,0,119,8156,8102,1459
"39","City of La Canada Flintridge",74,358,448,6,29,17,1723,8326,9518,20693
"40","City of La Habra Heights",15,275,238,0,0,0,65,1192,1335,5455
"41","City of La Mirada",306,617,559,19,38,25,2984,6016,5822,49599
"42","City of La Puente",391,961,942,3,7,8,3045,7482,7370,40697
"43","City of La Verne",106,318,334,2,6,3,1930,5799,5550,33282
"44","City of Lakewood",394,490,485,7,9,7,6039,7515,7367,80362
"45","City of Lancaster",1032,639,649,16,10,11,9633,5962,6056,161570
"46","City of Lawndale",190,565,552,7,21,27,2452,7295,7106,33614
"47","City of Lomita",76,367,346,6,29,19,1440,6947,6634,20729
"48","City of Lynwood",1218,1691,1842,55,76,123,6848,9505,9716,72047
"49","City of Malibu",49,378,316,1,8,4,1917,14791,12947,12961
"50","City of Manhattan Beach",121,336,323,3,8,8,2976,8267,8062,35999
"51","City of Maywood",582,2075,2250,17,61,96,2585,9216,9505,28049
"52","City of Monrovia",274,706,686,28,72,68,2941,7580,7443,38800
"53","City of Montebello",820,1274,1243,26,40,33,5936,9221,9013,64375
"54","City of Monterey Park",300,482,480,11,18,9,4354,6993,6836,62262
"55","City of Norwalk",1025,952,930,26,24,24,8552,7946,7784,107622
"56","City of Palmdale",1192,750,753,20,13,14,10949,6888,7057,158968
"57","City of Palos Verdes Estates",50,370,301,1,7,4,767,5672,5812,13522
"58","City of Paramount",758,1353,1361,12,21,26,4934,8807,8869,56023
"59","City of Pico Rivera",878,1366,1320,38,59,52,5674,8826,8579,64284
"60","City of Pomona",1329,852,845,18,12,15,11711,7510,7581,155931
"61","City of Rancho Palos Verdes",129,302,296,12,28,13,2855,6679,6977,42747
"62","City of Redondo Beach",190,277,274,8,12,12,5530,8050,7962,68697
"63","City of Rolling Hills",2,103,61,0,0,0,109,5619,5776,1940
"64","City of Rolling Hills Estates",23,284,432,2,25,13,545,6718,7456,8113
"65","City of Rosemead",227,410,394,8,14,11,3420,6179,5931,55350
"66","City of San Dimas",129,374,380,2,6,6,2434,7052,6838,34516
"67","City of San Fernando",289,1174,1188,11,45,52,2642,10735,10647,24612
"68","City of San Gabriel",223,545,487,21,51,35,2895,7069,6680,40954
"69","City of San Marino",28,211,187,1,8,4,839,6319,6686,13277
"70","City of Santa Clarita",1078,489,497,24,11,12,16585,7524,7454,220424
"71","City of Santa Fe Springs",132,719,712,1,5,5,1423,7749,7796,18364
"72","City of Santa Monica",393,425,358,29,31,22,12094,13082,11859,92446
"73","City of Sierra Madre",28,255,217,2,18,12,917,8345,8213,10989
"74","City of Signal Hill",85,721,735,0,0,0,972,8239,8168,11797
"75","City of South El Monte",260,1245,1256,5,24,22,1734,8303,8234,20885
"76","City of South Gate",1552,1581,1573,33,34,44,8931,9099,9030,98155
"77","City of South Pasadena",154,591,515,21,81,64,2348,9012,8932,26053
"78","City of Temple City",235,645,528,29,80,49,2763,7579,7210,36455
"79","City of Torrance",542,363,336,50,34,24,10381,6955,6670,149268
"80","City of Vernon",9,4306,7175,0,0,0,119,56938,62217,209
"81","City of Walnut",86,282,268,1,3,1,1643,5381,5164,30532
"82","City of West Covina",835,771,747,16,15,14,8339,7705,7446,108235
"83","City of West Hollywood",242,655,546,4,11,7,5335,14438,12207,36951
"84","City of Westlake Village",8,96,62,0,0,0,128,1531,1456,8360
"85","City of Whittier",624,714,697,13,15,15,6493,7426,7318,87432
