county,todays_date,previous_days_covid_confirmed_patients,previous_days_suspected_covid_patients,previous_days_conversion_covid_patients,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
San Diego,2020-06-01,138.0,46.0,,314.0,83.0,397.0,6121.0,150.0,16.0,317.0
Sonoma,2020-06-01,0.0,23.0,,5.0,62.0,67.0,871.0,2.0,5.0,50.0
Los Angeles,2020-06-01,369.0,239.0,,1302.0,576.0,1878.0,22117.0,392.0,104.0,1277.0
Stanislaus,,,,,55.0,129.0,8.0,2952.0,28.0,18.0,111.0
Plumas,2020-06-01,,1.0,,0.0,0.0,0.0,45.0,0.0,0.0,
Riverside,2020-06-01,79.0,70.0,,203.0,104.0,307.0,3969.0,62.0,14.0,148.0
San Joaquin,2020-06-01,10.0,29.0,,23.0,25.0,48.0,1366.0,8.0,8.0,26.0
Inyo,2020-06-01,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Marin,2020-06-01,1.0,0.0,,2.0,3.0,5.0,390.0,0.0,1.0,22.0
Tulare,2020-06-01,30.0,0.0,,34.0,1.0,35.0,920.0,11.0,1.0,14.0
Fresno,2020-06-01,5.0,21.0,,68.0,54.0,122.0,2142.0,17.0,6.0,393.0
San Francisco,2020-06-01,20.0,10.0,,45.0,29.0,74.0,2619.0,18.0,2.0,85.0
Santa Barbara,2020-06-01,11.0,4.0,,25.0,4.0,29.0,717.0,7.0,3.0,80.0
Modoc,2020-06-01,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Imperial,2020-06-01,45.0,0.0,,68.0,3.0,71.0,193.0,20.0,1.0,8.0
Lake,2020-06-01,0.0,1.0,,1.0,1.0,2.0,110.0,0.0,1.0,2.0
Mendocino,2020-06-01,,,,0.0,1.0,1.0,180.0,1.0,1.0,2.0
Kings,2020-06-01,2.0,,,26.0,2.0,28.0,199.0,8.0,0.0,2.0
Amador,2020-06-01,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,4.0
Merced,2020-06-01,0.0,3.0,,5.0,3.0,8.0,242.0,3.0,0.0,5.0
San Mateo,2020-06-01,2.0,0.0,,40.0,6.0,46.0,1096.0,11.0,0.0,42.0
Orange,2020-06-01,111.0,102.0,,292.0,113.0,405.0,6993.0,121.0,20.0,430.0
Del Norte,2020-06-01,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,4.0
Glenn,2020-06-01,0.0,0.0,,0.0,0.0,0.0,47.0,0.0,0.0,
Solano,2020-06-01,9.0,7.0,,20.0,17.0,37.0,707.0,5.0,4.0,41.0
Sutter,2020-06-01,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Madera,2020-06-01,0.0,1.0,,2.0,1.0,3.0,528.0,1.0,0.0,22.0
San Benito,2020-06-01,,,,0.0,0.0,0.0,25.0,0.0,0.0,3.0
Siskiyou,2020-06-01,0.0,0.0,,0.0,3.0,3.0,65.0,0.0,1.0,5.0
Inyo,2020-06-02,0.0,0.0,,0.0,0.0,0.0,42.0,0.0,0.0,4.0
Mariposa,2020-06-02,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
Ventura,2020-06-02,4.0,33.0,,25.0,21.0,46.0,1343.0,10.0,9.0,34.0
Fresno,2020-06-02,5.0,9.0,,64.0,37.0,101.0,2126.0,16.0,2.0,90.0
Santa Barbara,2020-06-02,13.0,4.0,,25.0,3.0,28.0,717.0,8.0,1.0,84.0
Mono,2020-06-02,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Alameda,2020-06-02,13.0,40.0,,92.0,68.0,160.0,2968.0,33.0,5.0,131.0
San Luis Obispo,2020-06-02,0.0,1.0,,2.0,2.0,4.0,460.0,2.0,0.0,23.0
Sacramento,2020-06-02,2.0,12.0,,17.0,25.0,42.0,2405.0,9.0,10.0,78.0
Merced,2020-06-02,0.0,1.0,,4.0,2.0,6.0,242.0,3.0,0.0,2.0
Sutter,2020-06-02,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Madera,2020-06-02,1.0,3.0,,6.0,4.0,10.0,528.0,2.0,0.0,19.0
Los Angeles,2020-06-03,441.0,292.0,,1430.0,386.0,1816.0,22772.0,420.0,65.0,1200.0
Riverside,2020-06-03,89.0,61.0,,221.0,101.0,322.0,4001.0,71.0,14.0,137.0
Ventura,2020-06-03,0.0,39.0,,24.0,19.0,43.0,1337.0,9.0,4.0,34.0
Marin,2020-06-03,0.0,1.0,,1.0,10.0,11.0,390.0,0.0,3.0,19.0
Nevada,2020-06-03,0.0,0.0,,0.0,0.0,0.0,131.0,0.0,0.0,6.0
Napa,2020-06-03,0.0,3.0,,0.0,2.0,2.0,387.0,0.0,0.0,5.0
Siskiyou,2020-06-03,1.0,3.0,,0.0,1.0,1.0,65.0,0.0,1.0,6.0
Mono,2020-06-04,0.0,0.0,,0.0,0.0,0.0,40.0,0.0,0.0,2.0
Imperial,2020-06-04,45.0,0.0,,74.0,3.0,77.0,237.0,18.0,0.0,4.0
San Luis Obispo,2020-06-04,0.0,0.0,,2.0,0.0,2.0,464.0,2.0,0.0,23.0
Santa Barbara,2020-06-04,14.0,5.0,,28.0,10.0,38.0,717.0,9.0,2.0,65.0
Lake,2020-06-04,0.0,1.0,,2.0,2.0,4.0,110.0,0.0,1.0,1.0
Placer,2020-06-04,0.0,1.0,,11.0,35.0,46.0,753.0,2.0,3.0,47.0
Colusa,2020-06-05,0.0,0.0,,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Alameda,,,,,380.0,436.0,349.0,8697.0,163.0,108.0,529.0
Contra Costa,2020-06-06,10.0,8.0,,18.0,43.0,61.0,1628.0,5.0,5.0,107.0
Mendocino,2020-06-06,0.0,0.0,,1.0,0.0,1.0,180.0,1.0,0.0,2.0
Kern,2020-06-01,9.0,10.0,,63.0,14.0,77.0,1722.0,30.0,3.0,69.0
Lassen,2020-06-01,0.0,1.0,,0.0,1.0,1.0,25.0,0.0,0.0,
Humboldt,2020-06-01,0.0,0.0,,4.0,6.0,10.0,352.0,0.0,0.0,7.0
Trinity,2020-06-01,,0.0,,0.0,1.0,1.0,54.0,0.0,0.0,
Yolo,2020-06-01,0.0,0.0,,0.0,0.0,0.0,186.0,0.0,0.0,4.0
Alameda,2020-06-01,16.0,12.0,,97.0,51.0,148.0,2968.0,37.0,9.0,134.0
Contra Costa,2020-06-01,5.0,9.0,,13.0,17.0,30.0,1628.0,8.0,5.0,100.0
Yuba,2020-06-01,,,,1.0,0.0,1.0,445.0,0.0,0.0,14.0
Kern,2020-06-02,15.0,12.0,,67.0,15.0,82.0,1732.0,33.0,1.0,67.0
San Joaquin,2020-06-02,9.0,19.0,,25.0,27.0,52.0,1366.0,9.0,6.0,20.0
Butte,2020-06-02,2.0,1.0,,4.0,2.0,6.0,448.0,1.0,0.0,15.0
Colusa,2020-06-02,0.0,1.0,,0.0,1.0,1.0,88.0,0.0,1.0,5.0
Trinity,2020-06-02,,0.0,,0.0,2.0,2.0,54.0,0.0,0.0,
Contra Costa,2020-06-02,6.0,15.0,,15.0,41.0,56.0,1628.0,8.0,12.0,94.0
Lake,2020-06-02,0.0,0.0,,1.0,1.0,2.0,110.0,0.0,0.0,0.0
Solano,2020-06-02,8.0,19.0,,16.0,16.0,32.0,707.0,4.0,5.0,41.0
Imperial,2020-06-02,48.0,0.0,,66.0,1.0,67.0,237.0,18.0,0.0,8.0
Amador,2020-06-02,0.0,1.0,,0.0,0.0,0.0,51.0,0.0,0.0,3.0
Yolo,2020-06-02,0.0,0.0,,0.0,0.0,0.0,186.0,0.0,0.0,2.0
Tehama,2020-06-02,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,4.0
Stanislaus,2020-06-02,7.0,0.0,,25.0,11.0,36.0,1374.0,7.0,3.0,68.0
Napa,2020-06-02,0.0,1.0,,0.0,2.0,2.0,387.0,0.0,0.0,6.0
Plumas,2020-06-02,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
San Diego,2020-06-03,129.0,56.0,,295.0,75.0,370.0,6214.0,134.0,24.0,288.0
Plumas,2020-06-03,,0.0,,0.0,0.0,0.0,45.0,0.0,0.0,
San Bernardino,2020-06-03,56.0,64.0,,157.0,75.0,232.0,4761.0,67.0,18.0,178.0
Kern,2020-06-03,14.0,6.0,,66.0,9.0,75.0,1759.0,35.0,1.0,74.0
Calaveras,2020-06-03,0.0,0.0,,1.0,0.0,1.0,50.0,1.0,0.0,8.0
San Joaquin,2020-06-03,15.0,32.0,,28.0,32.0,60.0,1366.0,10.0,5.0,21.0
San Luis Obispo,2020-06-03,0.0,2.0,,2.0,1.0,3.0,466.0,2.0,1.0,21.0
Contra Costa,2020-06-03,9.0,10.0,,15.0,52.0,67.0,1628.0,4.0,12.0,101.0
San Francisco,2020-06-03,15.0,11.0,,37.0,34.0,71.0,2647.0,17.0,4.0,80.0
Solano,2020-06-03,6.0,14.0,,10.0,13.0,23.0,707.0,4.0,1.0,48.0
San Mateo,2020-06-03,1.0,2.0,,43.0,23.0,66.0,1101.0,15.0,6.0,36.0
Del Norte,2020-06-03,0.0,0.0,,0.0,0.0,0.0,51.0,0.0,0.0,0.0
Modoc,2020-06-03,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Mendocino,2020-06-03,0.0,1.0,,1.0,0.0,1.0,180.0,1.0,0.0,3.0
Tuolumne,2020-06-03,,1.0,,0.0,0.0,0.0,151.0,0.0,0.0,0.0
Yuba,2020-06-03,1.0,1.0,,2.0,0.0,2.0,445.0,0.0,0.0,19.0
San Diego,2020-06-04,126.0,59.0,,297.0,82.0,379.0,6218.0,135.0,18.0,292.0
Sonoma,2020-06-04,0.0,28.0,,4.0,54.0,58.0,871.0,2.0,7.0,51.0
Santa Clara,2020-06-04,4.0,6.0,,37.0,38.0,75.0,3318.0,14.0,7.0,176.0
Lassen,,,,,0.0,14.0,4.0,225.0,0.0,0.0,
Colusa,2020-06-04,0.0,0.0,,0.0,0.0,0.0,88.0,0.0,0.0,6.0
Ventura,2020-06-04,3.0,35.0,,27.0,23.0,50.0,1333.0,7.0,5.0,34.0
Modoc,2020-06-04,0.0,0.0,,0.0,0.0,0.0,41.0,0.0,0.0,
Mariposa,2020-06-04,0.0,0.0,,0.0,0.0,0.0,30.0,0.0,0.0,
Calaveras,2020-06-04,0.0,0.0,,0.0,0.0,0.0,50.0,0.0,0.0,10.0
Tuolumne,2020-06-04,,,,1.0,0.0,1.0,151.0,0.0,0.0,0.0
Yuba,2020-06-04,1.0,,,3.0,0.0,3.0,445.0,1.0,0.0,14.0
Sutter,2020-06-04,0.0,0.0,,0.0,0.0,0.0,14.0,0.0,0.0,
Trinity,2020-06-05,,1.0,,0.0,0.0,0.0,54.0,0.0,0.0,
Santa Cruz,2020-06-03,1.0,1.0,,2.0,1.0,3.0,397.0,1.0,0.0,12.0
Placer,2020-06-03,0.0,1.0,,11.0,23.0,34.0,753.0,2.0,2.0,41.0
Riverside,2020-06-04,88.0,72.0,,226.0,91.0,317.0,4025.0,73.0,20.0,122.0
Contra Costa,2020-06-04,9.0,3.0,,18.0,70.0,88.0,1628.0,7.0,10.0,101.0
Tehama,2020-06-04,0.0,0.0,,0.0,0.0,0.0,106.0,0.0,0.0,2.0
